Date,Open,High,Low,Close,Volume
2023-01-01,151.38,152.26,150.46,150.75,3715514
2023-01-02,149.81,150.69,148.29,150.54,1687409
2023-01-03,152.63,152.68,150.27,151.51,3658571
2023-01-04,152.67,155.72,152.47,153.79,1640053
2023-01-05,153.91,155.58,153.27,153.44,1860395
2023-01-06,154.84,156.24,151.69,153.09,2679748
2023-01-07,154.67,156.28,154.52,155.46,3223069
2023-01-08,156.16,156.96,154.51,156.61,3907869
2023-01-09,155.99,156.3,154.49,155.91,4445498
2023-01-10,156.32,157.22,156.16,156.72,1698168
2023-01-11,154.79,157.12,154.62,156.03,1481680
2023-01-12,155.38,156.81,153.35,155.33,1971375
2023-01-13,154.84,157.01,154.09,155.69,3378494
2023-01-14,153.2,153.76,152.08,152.82,2985838
2023-01-15,149.5,152.14,147.87,150.23,3636694
2023-01-16,150.63,152.11,147.49,149.39,2092814
2023-01-17,147.24,148.98,145.27,147.87,3098404
2023-01-18,148.08,149.56,146.58,148.34,1826196
2023-01-19,147.63,148.47,146.23,146.98,3961293
2023-01-20,143.88,145.36,143.71,144.86,2534026
2023-01-21,147.24,147.95,145.51,147.06,1315826
2023-01-22,147.77,149.28,145.6,146.72,4467366
2023-01-23,145.54,146.85,144.69,146.82,3702757
2023-01-24,144.83,145.06,142.87,144.69,1327359
2023-01-25,144.08,144.17,143.65,143.87,4748603
2023-01-26,144.66,144.74,143.05,144.03,1006949
2023-01-27,141.32,144.02,141.3,142.31,3860337
2023-01-28,141.82,144.28,140.88,142.87,1317537
2023-01-29,142.39,143.34,141.86,141.97,4874641
2023-01-30,141.77,141.97,141.3,141.53,3759453
2023-01-31,140.83,141.81,140.4,140.63,1550222
2023-02-01,143.69,144.63,142.11,143.41,1780722
2023-02-02,142.84,143.74,141.35,143.39,4600830
2023-02-03,141.99,142.86,140.64,141.8,4483617
2023-02-04,143.27,144.07,141.11,143.04,3573619
2023-02-05,140.63,142.44,139.88,141.2,3453752
2023-02-06,143.01,144.28,140.95,141.52,2364133
2023-02-07,138.96,139.05,136.84,138.58,4071456
2023-02-08,135.63,137.34,135.19,136.59,2932247
2023-02-09,137.41,138.66,134.96,136.88,2353038
2023-02-10,137.21,139.0,137.19,137.99,1250875
2023-02-11,138.88,140.59,136.31,138.25,1463389
2023-02-12,139.0,140.32,137.99,138.07,1070390
2023-02-13,136.96,137.95,135.18,137.62,1707689
2023-02-14,136.17,136.32,134.35,135.4,1253490
2023-02-15,134.65,135.94,132.34,134.32,2615952
2023-02-16,134.29,134.34,133.49,133.63,2296516
2023-02-17,136.74,137.91,134.11,135.22,3462492
2023-02-18,135.54,137.61,133.6,135.73,3530179
2023-02-19,132.49,134.24,131.44,133.09,2556617
2023-02-20,132.86,134.35,131.61,133.58,4463351
2023-02-21,132.35,134.28,130.95,133.0,2265040
2023-02-22,131.92,132.9,131.01,131.98,4888457
2023-02-23,133.17,134.26,131.64,132.9,2559312
2023-02-24,134.67,136.55,133.28,134.45,2854971
2023-02-25,136.51,137.28,134.04,135.84,4462995
2023-02-26,134.6,136.52,134.49,134.58,1650199
2023-02-27,135.28,137.09,133.56,134.12,3320929
2023-02-28,134.41,135.01,132.51,134.62,3957061
2023-03-01,138.26,138.4,134.3,136.08,2849396
2023-03-02,135.86,136.06,134.45,135.36,4151297
2023-03-03,134.4,135.12,133.16,135.08,3691276
2023-03-04,132.57,133.61,132.01,133.42,1628861
2023-03-05,132.02,133.38,131.25,131.63,3526954
2023-03-06,132.67,132.99,131.74,132.85,3355242
2023-03-07,135.45,136.09,134.18,134.88,4813103
2023-03-08,135.15,136.84,133.61,134.78,4190730
2023-03-09,136.22,136.33,136.07,136.28,3869106
2023-03-10,136.15,138.45,134.2,136.82,1661614
2023-03-11,134.64,136.42,132.67,135.86,1679574
2023-03-12,136.04,136.63,134.64,136.4,1498870
2023-03-13,139.39,140.78,137.63,138.7,4357519
